,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2026,,2026,,2026,,2026,,,2026,,2026,2027,2027,2027,2027,2027,,2027,2027,2027,2028,,,,,,,,,,
,,,,,,,,Jul,,Aug,,Sep,,Oct,,,Nov,,Dec,Jan,Feb,Mar,May,Jun,,Jul,Aug,Sep,Apr,,,,,,,,,,
,,ГРАФИК ЗАПУСКА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTD - ПЕРЕРАБОТКА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTD переработка,,,,MES,,,,,,,,ППК Алтай,,,ППК Брянск,,,ППК Москва ППФ,"ППК Воронеж
ППК Тула","ППК Курск
ППК Белгород",ППК Тюмень,ППК Москва МСП,,,КЦ,,Честный знак,,,,,,,,,,
,,LE склад,,,,WMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTD - КОРМОПРОИЗВОДСТВО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTD Корма,,,,Регл,,,,,,,,,,,,,,,,,,,,,КЦ,,Честный знак,,,,,,,,,,
,,MTD - ВЫРАЩИВАНИЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTD Выращивание (ЦИ),,,,Регл,,,,,,,,,,,,,,,,,ЦИ Липецк,ЦИ Воронеж,,"ЦИ Брянск
ЦИ Москва МСП","ЦИ Алтай
ЦИ Тюмень",,Честный знак,,,,,,,,,,
,,MTD Выращивание (ОП),,,,Регл,,,,,,,,ОП Алтай,,,ОП Брянск,,ОП Липецк,ОП Москва ППФ,"ОП Воронеж
ОП Тула",ОП Курск,ОП Тюмень,ОП Москва МСП,,,КЦ,,,,,,,,,,,,
,,MTD Выращивание (бройлеры),,,,Регл,,,,,,,,БЦ Алтай,,,БЦ Брянск,,БЦ Липецк,БЦ Москва ППФ,"БЦ Воронеж
БЦ Тула",БЦ Курск,БЦ Тюмень,БЦ Москва МСП,,,,,,,,,,,,,,,
,,MTD Выращивание (РС),,,,Регл,,,,,,,,,,,,,,,РС Воронеж,"РС Белгород 1
РС Белгород 2",РС Тюмень,РС Липецк,,,,,,,,,,,,,,,
,,RTR - УУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
